id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1191;3040;144.25;0.0;0.0;0.0;0.0;0.0;2021;False
1192;1986;94.24;0.0;0.0;0.0;0.0;0.0;2021;False
1193;2895;137.37;0.0;0.0;0.0;0.0;0.0;2021;False
1194;7571;359.24;0.0;0.0;0.0;0.0;0.0;2021;False
1195;4411;209.3;0.0;0.0;0.0;0.0;0.0;2021;False
1196;5952;282.42;0.0;0.0;0.0;0.0;0.0;2021;False
1197;69406;3293.31;1350.19;1350.19;0.41;1.0;0.41;2021;False
1198;12013;570.02;0.0;0.0;0.0;0.0;0.0;2021;False
1199;5656;268.38;0.0;0.0;0.0;0.0;0.0;2021;False
1200;13022;617.89;0.0;0.0;0.0;0.0;0.0;2021;False
1201;1184;56.18;77.1;77.1;1.37;1.0;1.37;2021;False
1202;31139;1477.55;0.0;0.0;0.0;0.0;0.0;2021;False
1203;4751;225.43;0.0;0.0;0.0;0.0;0.0;2021;False
1204;19727;936.05;384.3;384.3;0.41;1.0;0.41;2021;False
1205;3706;175.85;0.0;0.0;0.0;0.0;0.0;2021;False
1206;1841;87.36;0.0;0.0;0.0;0.0;0.0;2021;False
1207;19248;913.32;0.0;0.0;0.0;0.0;0.0;2021;False
1208;109654;5203.08;101.74;101.74;0.02;1.0;0.02;2021;False
1209;7888;374.29;0.0;0.0;0.0;0.0;0.0;2021;False
1210;18904;896.99;653.56;653.56;0.73;1.0;0.73;2021;False
1211;6225;295.38;0.0;0.0;0.0;0.0;0.0;2021;False
1212;2744;130.2;0.0;0.0;0.0;0.0;0.0;2021;False
1213;3165;150.18;0.0;0.0;0.0;0.0;0.0;2021;False
1214;3194;151.56;0.0;0.0;0.0;0.0;0.0;2021;False
1215;7517;356.68;235.37;235.37;0.66;1.0;0.66;2021;False
1216;2555;121.23;0.0;0.0;0.0;0.0;0.0;2021;False
1217;119188;5655.47;3350.11;3350.08;0.59;1.0;0.59;2021;False
1218;3157;149.8;0.0;0.0;0.0;0.0;0.0;2021;False
1219;4086;193.88;0.0;0.0;0.0;0.0;0.0;2021;False
1220;4918;233.36;0.0;0.0;0.0;0.0;0.0;2021;False
1221;2554;121.19;0.0;0.0;0.0;0.0;0.0;2021;False
1222;37154;1762.96;1171.22;1171.22;0.66;1.0;0.66;2021;False
1223;12455;590.99;21.97;0.0;0.04;0.0;0.0;2021;False
1224;2759;130.91;0.0;0.0;0.0;0.0;0.0;2021;False
1225;158657;7528.27;3026.98;3026.96;0.4;1.0;0.4;2021;False
